file_name,time_created,exact_solution,num_vars,num_cons
Comb5_0_increasing.lp,1743686566.324426,366.0,13,9
Comb2_2_up_quadratic.lp,1743686566.318726,237.1,11,9
Comb11_0_decreasing.lp,1743686566.338502,1073.4,74,19
Comb8_2_increasing.lp,1743686566.333072,733.4000000000001,50,17
Comb3_0_decreasing.lp,1743686566.319645,301.0,13,8
Comb10_0_up_quadratic.lp,1743686566.336604,787.2,56,17
Comb7_2_increasing.lp,1743686566.330766,534.1,41,16
Comb7_2_up_quadratic.lp,1743686566.331263,467.6,41,16
Comb1_2_decreasing.lp,1743686566.315755,281.0,10,9
Comb6_2_decreasing.lp,1743686566.328756,631.0,34,14
Comb3_2_up_quadratic.lp,1743686566.321163,217.1,19,10
Comb12_2_increasing.lp,1743686566.341694,1216.0,114,24
Comb0_2_increasing.lp,1743686566.312815,264.9,11,9
Comb11_0_up_quadratic.lp,1743686566.338771,899.4000000000001,74,19
Comb4_0_decreasing.lp,1743686566.322232,419.2000000000001,14,9
Comb6_2_up_quadratic.lp,1743686566.329148,511.6,34,14
Comb2_0_increasing.lp,1743686566.316662,270.0,7,7
Comb9_2_decreasing.lp,1743686566.335478,805.7,63,18
Comb10_0_increasing.lp,1743686566.336139,848.5999999999999,56,17
Comb7_2_decreasing.lp,1743686566.331016,558.1,41,16
Comb0_2_up_quadratic.lp,1743686566.313406,254.7,11,9
Comb1_2_increasing.lp,1743686566.315445,231.4,10,9
Comb12_0_up_quadratic.lp,1743686566.341115,1123.3,98,22
Comb5_0_decreasing.lp,1743686566.324722,424.9,13,9
Comb5_2_up_quadratic.lp,1743686566.32629,322.59999999999997,19,11
Comb8_2_decreasing.lp,1743686566.333338,775.6999999999999,50,17
Comb11_0_increasing.lp,1743686566.338246,1012.7,74,19
Comb8_0_up_quadratic.lp,1743686566.332523,680.8,40,15
Comb3_0_increasing.lp,1743686566.319341,245.0,13,8
Comb4_0_increasing.lp,1743686566.321754,371.3,14,9
Comb1_2_up_quadratic.lp,1743686566.316051,217.1,10,9
Comb2_0_decreasing.lp,1743686566.31698,324.0,7,7
Comb10_0_decreasing.lp,1743686566.336352,920.0,56,17
Comb9_2_increasing.lp,1743686566.335252,753.4999999999999,63,18
Comb4_2_up_quadratic.lp,1743686566.323794,323.4,20,11
Comb6_2_increasing.lp,1743686566.328478,583.0,34,14
Comb12_2_decreasing.lp,1743686566.34193,1271.3,114,24
Comb9_0_up_quadratic.lp,1743686566.33459,695.2,51,16
Comb0_2_decreasing.lp,1743686566.313103,296.1,11,9
Comb3_2_increasing.lp,1743686566.320574,231.4,19,10
Comb9_0_down_quadratic.lp,1743686566.335021,917.6,51,16
Comb2_2_down_quadratic.lp,1743686566.319031,304.4,11,9
Comb11_2_increasing.lp,1743686566.339327,973.9,88,21
Comb8_0_decreasing.lp,1743686566.332244,818.0,40,15
Comb12_2_up_quadratic.lp,1743686566.342174,1071.0,114,24
Comb8_0_down_quadratic.lp,1743686566.332796,903.2,40,15
Comb5_2_decreasing.lp,1743686566.325863,383.5,19,11
Comb0_0_up_quadratic.lp,1743686566.312123,301.0,7,7
Comb3_2_down_quadratic.lp,1743686566.321463,246.1,19,10
Comb8_2_up_quadratic.lp,1743686566.333609,643.4000000000001,50,17
Comb0_2_down_quadratic.lp,1743686566.313732,280.2,11,9
Comb1_0_increasing.lp,1743686566.3142,245.0,6,7
Comb1_2_down_quadratic.lp,1743686566.316361,289.4,10,9
Comb7_0_decreasing.lp,1743686566.33,580.0,33,14
Comb5_0_up_quadratic.lp,1743686566.325021,339.29999999999995,13,9
Comb7_2_down_quadratic.lp,1743686566.331524,627.1,41,16
Comb0_0_decreasing.lp,1743686566.31175,329.0,7,7
Comb10_0_down_quadratic.lp,1743686566.336876,951.2,56,17
Comb12_0_decreasing.lp,1743686566.340641,1321.6,98,22
Comb6_0_increasing.lp,1743686566.327343,615.5,26,12
Comb6_2_down_quadratic.lp,1743686566.329467,690.6,34,14
Comb1_0_up_quadratic.lp,1743686566.314822,247.0,6,7
