,scenario,popt,p90,method,qubo,num_layers
0,0,0.002,0.002,TAE,no_slack_qubo,20
1,0,0.009,0.009,TAE,no_slack_qubo,20
2,0,0.002,0.002,TAE,no_slack_qubo,20
3,0,0.002,0.002,TAE,no_slack_qubo,20
4,0,0.002,0.002,TAE,no_slack_qubo,20
5,0,0.002,0.002,TAE,no_slack_qubo,20
6,0,0.003,0.003,TAE,no_slack_qubo,20
7,0,0.0,0.0,TAE,no_slack_qubo,20
8,0,0.005,0.005,TAE,no_slack_qubo,20
9,0,0.001,0.001,TAE,no_slack_qubo,20
10,1,0.2945,0.2945,TAE,no_slack_qubo,20
11,1,0.2915,0.2915,TAE,no_slack_qubo,20
12,1,0.299,0.299,TAE,no_slack_qubo,20
13,1,0.3005,0.3005,TAE,no_slack_qubo,20
14,1,0.3075,0.3075,TAE,no_slack_qubo,20
15,1,0.3085,0.3085,TAE,no_slack_qubo,20
16,1,0.306,0.306,TAE,no_slack_qubo,20
17,1,0.3055,0.3055,TAE,no_slack_qubo,20
18,1,0.275,0.275,TAE,no_slack_qubo,20
19,1,0.2985,0.2985,TAE,no_slack_qubo,20
20,2,0.09633333333333334,0.09633333333333334,TAE,no_slack_qubo,20
21,2,0.089,0.089,TAE,no_slack_qubo,20
22,2,0.09833333333333333,0.09833333333333333,TAE,no_slack_qubo,20
23,2,0.096,0.096,TAE,no_slack_qubo,20
24,2,0.10133333333333333,0.10133333333333333,TAE,no_slack_qubo,20
25,2,0.09933333333333333,0.09933333333333333,TAE,no_slack_qubo,20
26,2,0.10433333333333333,0.10433333333333333,TAE,no_slack_qubo,20
27,2,0.09466666666666666,0.09466666666666666,TAE,no_slack_qubo,20
28,2,0.101,0.101,TAE,no_slack_qubo,20
29,2,0.09266666666666666,0.09266666666666666,TAE,no_slack_qubo,20
30,3,0.35350000000000004,0.525,TAE,no_slack_qubo,20
31,3,0.353,0.5395,TAE,no_slack_qubo,20
32,3,0.3705,0.5435,TAE,no_slack_qubo,20
33,3,0.351,0.524,TAE,no_slack_qubo,20
34,3,0.36250000000000004,0.5345,TAE,no_slack_qubo,20
35,3,0.3525,0.5365,TAE,no_slack_qubo,20
36,3,0.35350000000000004,0.531,TAE,no_slack_qubo,20
37,3,0.349,0.5229999999999999,TAE,no_slack_qubo,20
38,3,0.3365,0.514,TAE,no_slack_qubo,20
39,3,0.3425,0.536,TAE,no_slack_qubo,20
40,4,0.178,0.3824,TAE,no_slack_qubo,20
41,4,0.2032,0.412,TAE,no_slack_qubo,20
42,4,0.1872,0.40240000000000004,TAE,no_slack_qubo,20
43,4,0.2012,0.4084,TAE,no_slack_qubo,20
44,4,0.2008,0.4012,TAE,no_slack_qubo,20
45,4,0.1968,0.4032,TAE,no_slack_qubo,20
46,4,0.1884,0.38839999999999997,TAE,no_slack_qubo,20
47,4,0.212,0.41679999999999995,TAE,no_slack_qubo,20
48,4,0.18159999999999998,0.3956,TAE,no_slack_qubo,20
49,4,0.18519999999999998,0.3932,TAE,no_slack_qubo,20
50,5,0.0776,0.1784,TAE,no_slack_qubo,20
51,5,0.0728,0.1748,TAE,no_slack_qubo,20
52,5,0.0776,0.18,TAE,no_slack_qubo,20
53,5,0.0836,0.18359999999999999,TAE,no_slack_qubo,20
54,5,0.08,0.17520000000000002,TAE,no_slack_qubo,20
55,5,0.0844,0.1784,TAE,no_slack_qubo,20
56,5,0.0712,0.16720000000000002,TAE,no_slack_qubo,20
57,5,0.0744,0.1672,TAE,no_slack_qubo,20
58,5,0.0824,0.1768,TAE,no_slack_qubo,20
59,5,0.0724,0.17,TAE,no_slack_qubo,20
60,6,0.126,0.126,TAE,no_slack_qubo,20
61,6,0.12933333333333333,0.12933333333333333,TAE,no_slack_qubo,20
62,6,0.12466666666666668,0.12466666666666668,TAE,no_slack_qubo,20
63,6,0.11833333333333332,0.11833333333333332,TAE,no_slack_qubo,20
64,6,0.10300000000000001,0.10300000000000001,TAE,no_slack_qubo,20
65,6,0.12633333333333335,0.12633333333333335,TAE,no_slack_qubo,20
66,6,0.12033333333333333,0.12033333333333333,TAE,no_slack_qubo,20
67,6,0.14100000000000001,0.14100000000000001,TAE,no_slack_qubo,20
68,6,0.11466666666666667,0.11466666666666667,TAE,no_slack_qubo,20
69,6,0.13166666666666665,0.13166666666666665,TAE,no_slack_qubo,20
70,7,0.06433333333333334,0.06433333333333334,TAE,no_slack_qubo,20
71,7,0.058333333333333334,0.058333333333333334,TAE,no_slack_qubo,20
72,7,0.067,0.067,TAE,no_slack_qubo,20
73,7,0.07233333333333333,0.07233333333333333,TAE,no_slack_qubo,20
74,7,0.07166666666666667,0.07166666666666667,TAE,no_slack_qubo,20
75,7,0.06433333333333334,0.06433333333333334,TAE,no_slack_qubo,20
76,7,0.06166666666666667,0.06166666666666667,TAE,no_slack_qubo,20
77,7,0.06433333333333334,0.06433333333333334,TAE,no_slack_qubo,20
78,7,0.06666666666666667,0.06666666666666667,TAE,no_slack_qubo,20
79,7,0.06633333333333333,0.06633333333333333,TAE,no_slack_qubo,20
80,8,0.035750000000000004,0.052500000000000005,TAE,no_slack_qubo,20
81,8,0.035750000000000004,0.05,TAE,no_slack_qubo,20
82,8,0.038000000000000006,0.061250000000000006,TAE,no_slack_qubo,20
83,8,0.036,0.05449999999999999,TAE,no_slack_qubo,20
84,8,0.03375,0.05075,TAE,no_slack_qubo,20
85,8,0.03825,0.054,TAE,no_slack_qubo,20
86,8,0.035250000000000004,0.053250000000000006,TAE,no_slack_qubo,20
87,8,0.03975,0.0555,TAE,no_slack_qubo,20
88,8,0.040249999999999994,0.055999999999999994,TAE,no_slack_qubo,20
89,8,0.03325,0.04525,TAE,no_slack_qubo,20
90,9,0.01775,0.11875,TAE,no_slack_qubo,20
91,9,0.016,0.12000000000000001,TAE,no_slack_qubo,20
92,9,0.01725,0.12375,TAE,no_slack_qubo,20
93,9,0.0145,0.10575,TAE,no_slack_qubo,20
94,9,0.01475,0.1075,TAE,no_slack_qubo,20
95,9,0.01525,0.113,TAE,no_slack_qubo,20
96,9,0.015,0.11574999999999999,TAE,no_slack_qubo,20
97,9,0.01475,0.117,TAE,no_slack_qubo,20
98,9,0.0145,0.11325,TAE,no_slack_qubo,20
99,9,0.01375,0.11175,TAE,no_slack_qubo,20
100,10,0.3173333333333333,0.9259999999999999,TAE,no_slack_qubo,20
101,10,0.32133333333333336,0.9236666666666667,TAE,no_slack_qubo,20
102,10,0.31233333333333335,0.921,TAE,no_slack_qubo,20
103,10,0.29200000000000004,0.9216666666666667,TAE,no_slack_qubo,20
104,10,0.29666666666666663,0.9229999999999999,TAE,no_slack_qubo,20
105,10,0.31766666666666665,0.9323333333333333,TAE,no_slack_qubo,20
106,10,0.321,0.9236666666666666,TAE,no_slack_qubo,20
107,10,0.30966666666666665,0.9253333333333335,TAE,no_slack_qubo,20
108,10,0.31666666666666665,0.9269999999999999,TAE,no_slack_qubo,20
109,10,0.29733333333333334,0.9203333333333333,TAE,no_slack_qubo,20
110,11,0.16833333333333333,0.8703333333333334,TAE,no_slack_qubo,20
111,11,0.18266666666666667,0.8633333333333333,TAE,no_slack_qubo,20
112,11,0.175,0.872,TAE,no_slack_qubo,20
113,11,0.15933333333333333,0.8613333333333333,TAE,no_slack_qubo,20
114,11,0.179,0.861,TAE,no_slack_qubo,20
115,11,0.16266666666666665,0.8636666666666666,TAE,no_slack_qubo,20
116,11,0.177,0.8620000000000001,TAE,no_slack_qubo,20
117,11,0.164,0.8613333333333334,TAE,no_slack_qubo,20
118,11,0.18266666666666667,0.8693333333333334,TAE,no_slack_qubo,20
119,11,0.179,0.8620000000000001,TAE,no_slack_qubo,20
120,12,0.15775,0.15775,TAE,no_slack_qubo,20
121,12,0.1615,0.1615,TAE,no_slack_qubo,20
122,12,0.15999999999999998,0.15999999999999998,TAE,no_slack_qubo,20
123,12,0.15375,0.15375,TAE,no_slack_qubo,20
124,12,0.16499999999999998,0.16499999999999998,TAE,no_slack_qubo,20
125,12,0.16775,0.16775,TAE,no_slack_qubo,20
126,12,0.16399999999999998,0.16399999999999998,TAE,no_slack_qubo,20
127,12,0.165,0.165,TAE,no_slack_qubo,20
128,12,0.16425,0.16425,TAE,no_slack_qubo,20
129,12,0.16125,0.16125,TAE,no_slack_qubo,20
130,13,0.0385,0.22475000000000003,TAE,no_slack_qubo,20
131,13,0.0375,0.22825000000000004,TAE,no_slack_qubo,20
132,13,0.036,0.22150000000000003,TAE,no_slack_qubo,20
133,13,0.04075,0.23825000000000002,TAE,no_slack_qubo,20
134,13,0.041,0.23050000000000004,TAE,no_slack_qubo,20
135,13,0.0365,0.23550000000000001,TAE,no_slack_qubo,20
136,13,0.034,0.21900000000000003,TAE,no_slack_qubo,20
137,13,0.039,0.228,TAE,no_slack_qubo,20
138,13,0.04,0.22400000000000003,TAE,no_slack_qubo,20
139,13,0.0415,0.22775000000000004,TAE,no_slack_qubo,20
140,14,0.026000000000000002,0.026000000000000002,TAE,no_slack_qubo,20
141,14,0.028833333333333336,0.028833333333333336,TAE,no_slack_qubo,20
142,14,0.028999999999999998,0.028999999999999998,TAE,no_slack_qubo,20
143,14,0.028833333333333332,0.028833333333333332,TAE,no_slack_qubo,20
144,14,0.028999999999999998,0.028999999999999998,TAE,no_slack_qubo,20
145,14,0.03133333333333333,0.03133333333333333,TAE,no_slack_qubo,20
146,14,0.029166666666666664,0.029166666666666664,TAE,no_slack_qubo,20
147,14,0.025333333333333333,0.025333333333333333,TAE,no_slack_qubo,20
148,14,0.029166666666666664,0.029166666666666664,TAE,no_slack_qubo,20
149,14,0.02416666666666667,0.02416666666666667,TAE,no_slack_qubo,20
150,15,0.0135,0.20066666666666663,TAE,no_slack_qubo,20
151,15,0.013833333333333333,0.20866666666666664,TAE,no_slack_qubo,20
152,15,0.013166666666666667,0.2111666666666666,TAE,no_slack_qubo,20
153,15,0.014833333333333334,0.20433333333333328,TAE,no_slack_qubo,20
154,15,0.013666666666666667,0.20083333333333334,TAE,no_slack_qubo,20
